timestamp (s) \{PC Timestamp\},lat (deg),lon (deg),heading (rad),calculated speed (km/h),year - gps,day of year - gps,time of day in ms - gps UTC, gps valid, heading valid
1786560921.6882224, 42.58398483333333, -83.67836783333334, 0.0, 0.033, 2026, 224, 68121600.0, True, False
1786560921.8854496, 42.58398483333333, -83.67836783333334, 0.0, 0.026, 2026, 224, 68121800.0, True, False
1786560922.0994422, 42.58398483333333, -83.67836783333334, 0.0, 0.024, 2026, 224, 68122000.0, True, False
1786560922.2899039, 42.58398483333333, -83.67836766666667, 0.0, 0.039, 2026, 224, 68122200.0, True, False
1786560922.4926083, 42.58398483333333, -83.67836766666667, 0.0, 0.029, 2026, 224, 68122400.0, True, False
1786560922.6946757, 42.58398483333333, -83.67836766666667, 0.0, 0.014, 2026, 224, 68122600.0, True, False
1786560922.8869584, 42.58398483333333, -83.67836766666667, 0.0, 0.016, 2026, 224, 68122800.0, True, False
1786560923.1110585, 42.58398483333333, -83.67836766666667, 0.0, 0.013, 2026, 224, 68123000.0, True, False
1786560923.2938635, 42.58398483333333, -83.67836766666667, 0.0, 0.026, 2026, 224, 68123200.0, True, False
1786560923.4942484, 42.58398483333333, -83.67836766666667, 0.0, 0.029, 2026, 224, 68123400.0, True, False
1786560923.6928072, 42.58398483333333, -83.67836783333334, 0.0, 0.017, 2026, 224, 68123600.0, True, False
1786560923.8858917, 42.58398483333333, -83.67836783333334, 0.0, 0.013, 2026, 224, 68123800.0, True, False
1786560924.101805, 42.58398483333333, -83.67836783333334, 0.0, 0.015, 2026, 224, 68124000.0, True, False
1786560924.2888172, 42.58398483333333, -83.67836783333334, 0.0, 0.022, 2026, 224, 68124200.0, True, False
1786560924.4937723, 42.58398483333333, -83.67836783333334, 0.0, 0.01, 2026, 224, 68124400.0, True, False
1786560924.6922264, 42.58398483333333, -83.67836783333334, 0.0, 0.015, 2026, 224, 68124600.0, True, False
1786560924.894113, 42.58398483333333, -83.67836783333334, 0.0, 0.014, 2026, 224, 68124800.0, True, False
1786560925.106216, 42.58398483333333, -83.67836783333334, 0.0, 0.026, 2026, 224, 68125000.0, True, False
1786560925.2978091, 42.58398483333333, -83.67836783333334, 0.0, 0.01, 2026, 224, 68125200.0, True, False
1786560925.4904058, 42.58398483333333, -83.67836783333334, 0.0, 0.015, 2026, 224, 68125400.0, True, False
1786560925.6957889, 42.58398483333333, -83.67836783333334, 0.0, 0.007, 2026, 224, 68125600.0, True, False
1786560925.8946686, 42.58398483333333, -83.678368, 0.0, 0.02, 2026, 224, 68125800.0, True, False
1786560926.1148791, 42.58398483333333, -83.678368, 0.0, 0.011, 2026, 224, 68126000.0, True, False
1786560926.2930741, 42.58398483333333, -83.678368, 0.0, 0.014, 2026, 224, 68126200.0, True, False
1786560926.4878507, 42.58398483333333, -83.678368, 0.0, 0.005, 2026, 224, 68126400.0, True, False
1786560926.6891787, 42.58398483333333, -83.678368, 0.0, 0.001, 2026, 224, 68126600.0, True, False
1786560926.888159, 42.58398483333333, -83.678368, 0.0, 0.015, 2026, 224, 68126800.0, True, False
1786560927.0992405, 42.58398483333333, -83.678368, 0.0, 0.01, 2026, 224, 68127000.0, True, False
1786560927.282142, 42.58398483333333, -83.678368, 0.0, 0.023, 2026, 224, 68127200.0, True, False
1786560927.4862041, 42.58398483333333, -83.678368, 0.0, 0.016, 2026, 224, 68127400.0, True, False
1786560927.6906936, 42.58398483333333, -83.678368, 0.0, 0.01, 2026, 224, 68127600.0, True, False
1786560927.887215, 42.58398483333333, -83.678368, 0.0, 0.031, 2026, 224, 68127800.0, True, False
1786560928.0991852, 42.58398483333333, -83.678368, 0.0, 0.006, 2026, 224, 68128000.0, True, False
1786560928.2902231, 42.58398483333333, -83.678368, 0.0, 0.018, 2026, 224, 68128200.0, True, False
1786560928.4865339, 42.58398483333333, -83.678368, 0.0, 0.027, 2026, 224, 68128400.0, True, False
1786560928.6906443, 42.58398483333333, -83.678368, 0.0, 0.009, 2026, 224, 68128600.0, True, False
1786560928.8885996, 42.58398483333333, -83.678368, 0.0, 0.004, 2026, 224, 68128800.0, True, False
1786560929.092696, 42.58398483333333, -83.678368, 0.0, 0.012, 2026, 224, 68129000.0, True, False
1786560929.2891355, 42.58398483333333, -83.678368, 0.0, 0.005, 2026, 224, 68129200.0, True, False
1786560929.4899771, 42.58398483333333, -83.678368, 0.0, 0.009, 2026, 224, 68129400.0, True, False
1786560929.688975, 42.58398483333333, -83.678368, 0.0, 0.004, 2026, 224, 68129600.0, True, False
1786560929.8861265, 42.58398483333333, -83.678368, 0.0, 0.012, 2026, 224, 68129800.0, True, False
1786560930.1023498, 42.58398483333333, -83.678368, 0.0, 0.025, 2026, 224, 68130000.0, True, False
1786560930.2865648, 42.58398483333333, -83.67836783333334, 0.0, 0.007, 2026, 224, 68130200.0, True, False
1786560930.4864533, 42.58398483333333, -83.67836783333334, 0.0, 0.014, 2026, 224, 68130400.0, True, False
1786560930.6903684, 42.58398483333333, -83.67836783333334, 0.0, 0.021, 2026, 224, 68130600.0, True, False
1786560930.8817532, 42.58398483333333, -83.67836783333334, 0.0, 0.009, 2026, 224, 68130800.0, True, False
1786560931.098673, 42.58398483333333, -83.67836783333334, 0.0, 0.029, 2026, 224, 68131000.0, True, False
1786560931.2883673, 42.58398483333333, -83.67836783333334, 0.0, 0.015, 2026, 224, 68131200.0, True, False
1786560931.4870703, 42.583984666666666, -83.67836783333334, 0.0, 0.018, 2026, 224, 68131400.0, True, False
1786560931.6885128, 42.583984666666666, -83.67836783333334, 0.0, 0.025, 2026, 224, 68131600.0, True, False
1786560931.8885753, 42.583984666666666, -83.67836766666667, 0.0, 0.002, 2026, 224, 68131800.0, True, False
1786560932.1101532, 42.583984666666666, -83.67836766666667, 0.0, 0.014, 2026, 224, 68132000.0, True, False
1786560932.2907362, 42.583984666666666, -83.67836766666667, 0.0, 0.014, 2026, 224, 68132200.0, True, False
1786560932.4891155, 42.583984666666666, -83.67836766666667, 0.0, 0.016, 2026, 224, 68132400.0, True, False
1786560932.6828024, 42.583984666666666, -83.67836766666667, 0.0, 0.019, 2026, 224, 68132600.0, True, False
1786560932.8879724, 42.5839845, -83.67836783333334, 0.0, 0.028, 2026, 224, 68132800.0, True, False
1786560933.0999243, 42.5839845, -83.67836783333334, 0.0, 0.024, 2026, 224, 68133000.0, True, False
1786560933.28632, 42.5839845, -83.67836766666667, 0.0, 0.022, 2026, 224, 68133200.0, True, False
1786560933.487081, 42.5839845, -83.67836766666667, 0.0, 0.02, 2026, 224, 68133400.0, True, False
1786560933.6910582, 42.5839845, -83.67836766666667, 0.0, 0.019, 2026, 224, 68133600.0, True, False
1786560933.886359, 42.5839845, -83.67836766666667, 0.0, 0.02, 2026, 224, 68133800.0, True, False
1786560934.0983286, 42.5839845, -83.67836766666667, 0.0, 0.017, 2026, 224, 68134000.0, True, False
1786560934.2889295, 42.58398433333333, -83.67836766666667, 0.0, 0.015, 2026, 224, 68134200.0, True, False
1786560934.4832823, 42.58398433333333, -83.67836783333334, 0.0, 0.023, 2026, 224, 68134400.0, True, False
1786560934.689469, 42.58398433333333, -83.67836783333334, 0.0, 0.008, 2026, 224, 68134600.0, True, False
1786560934.890259, 42.58398433333333, -83.67836783333334, 0.0, 0.002, 2026, 224, 68134800.0, True, False
1786560935.1038854, 42.5839845, -83.67836783333334, 0.0, 0.016, 2026, 224, 68135000.0, True, False
1786560935.2834148, 42.5839845, -83.67836783333334, 0.0, 0.013, 2026, 224, 68135200.0, True, False
1786560935.4910898, 42.5839845, -83.67836783333334, 0.0, 0.016, 2026, 224, 68135400.0, True, False
1786560935.6949203, 42.5839845, -83.67836783333334, 0.0, 0.01, 2026, 224, 68135600.0, True, False
1786560935.8941302, 42.5839845, -83.678368, 0.0, 0.005, 2026, 224, 68135800.0, True, False
1786560936.1129644, 42.5839845, -83.678368, 0.0, 0.007, 2026, 224, 68136000.0, True, False
1786560936.2935956, 42.5839845, -83.678368, 0.0, 0.015, 2026, 224, 68136200.0, True, False
1786560936.4941332, 42.5839845, -83.678368, 0.0, 0.014, 2026, 224, 68136400.0, True, False
1786560936.694956, 42.5839845, -83.678368, 0.0, 0.014, 2026, 224, 68136600.0, True, False
1786560936.8936553, 42.5839845, -83.678368, 0.0, 0.009, 2026, 224, 68136800.0, True, False
1786560937.097462, 42.5839845, -83.678368, 0.0, 0.02, 2026, 224, 68137000.0, True, False
1786560937.297153, 42.5839845, -83.67836816666667, 0.0, 0.011, 2026, 224, 68137200.0, True, False
1786560937.493551, 42.583984666666666, -83.67836816666667, 0.0, 0.019, 2026, 224, 68137400.0, True, False
1786560937.696707, 42.583984666666666, -83.67836816666667, 0.0, 0.003, 2026, 224, 68137600.0, True, False
1786560937.8947546, 42.583984666666666, -83.67836816666667, 0.0, 0.008, 2026, 224, 68137800.0, True, False
1786560938.1143694, 42.583984666666666, -83.67836816666667, 0.0, 0.015, 2026, 224, 68138000.0, True, False
1786560938.2943015, 42.583984666666666, -83.67836833333334, 0.0, 0.002, 2026, 224, 68138200.0, True, False
1786560938.4943433, 42.583984666666666, -83.67836833333334, 0.0, 0.005, 2026, 224, 68138400.0, True, False
1786560938.6958373, 42.583984666666666, -83.67836833333334, 0.0, 0.019, 2026, 224, 68138600.0, True, False
1786560938.8790157, 42.58398483333333, -83.67836833333334, 0.0, 0.017, 2026, 224, 68138800.0, True, False
1786560939.097879, 42.58398483333333, -83.67836833333334, 0.0, 0.011, 2026, 224, 68139000.0, True, False
1786560939.2853086, 42.58398483333333, -83.67836833333334, 0.0, 0.018, 2026, 224, 68139200.0, True, False
1786560939.4853528, 42.58398483333333, -83.6783685, 0.0, 0.014, 2026, 224, 68139400.0, True, False
1786560939.687094, 42.58398483333333, -83.6783685, 0.0, 0.013, 2026, 224, 68139600.0, True, False
1786560939.8851528, 42.58398483333333, -83.6783685, 0.0, 0.017, 2026, 224, 68139800.0, True, False
1786560940.0960524, 42.58398483333333, -83.6783685, 0.0, 0.022, 2026, 224, 68140000.0, True, False
1786560940.2941835, 42.58398483333333, -83.6783685, 0.0, 0.013, 2026, 224, 68140200.0, True, False
1786560940.4933643, 42.583985, -83.6783685, 0.0, 0.01, 2026, 224, 68140400.0, True, False
1786560940.686001, 42.583985, -83.67836866666667, 0.0, 0.001, 2026, 224, 68140600.0, True, False
1786560940.8942513, 42.583985, -83.67836866666667, 0.0, 0.007, 2026, 224, 68140800.0, True, False
1786560941.1121104, 42.583985, -83.67836866666667, 0.0, 0.013, 2026, 224, 68141000.0, True, False
1786560941.2938776, 42.583985, -83.67836866666667, 0.0, 0.01, 2026, 224, 68141200.0, True, False
1786560941.4860895, 42.583985, -83.67836866666667, 0.0, 0.019, 2026, 224, 68141400.0, True, False
1786560941.6859434, 42.583985, -83.67836883333334, 0.0, 0.005, 2026, 224, 68141600.0, True, False
1786560941.887216, 42.583985, -83.67836883333334, 0.0, 0.005, 2026, 224, 68141800.0, True, False
1786560942.1059585, 42.583985, -83.67836883333334, 0.0, 0.001, 2026, 224, 68142000.0, True, False
1786560942.2864642, 42.583985, -83.67836883333334, 0.0, 0.004, 2026, 224, 68142200.0, True, False
1786560942.4833488, 42.583985, -83.67836883333334, 0.0, 0.004, 2026, 224, 68142400.0, True, False
1786560942.6912162, 42.583985, -83.67836883333334, 0.0, 0.008, 2026, 224, 68142600.0, True, False
1786560942.8870604, 42.583985, -83.67836883333334, 0.0, 0.009, 2026, 224, 68142800.0, True, False
1786560943.0962355, 42.583985, -83.678369, 0.0, 0.018, 2026, 224, 68143000.0, True, False
1786560943.2851188, 42.583985, -83.678369, 0.0, 0.022, 2026, 224, 68143200.0, True, False
1786560943.4858608, 42.583985, -83.678369, 0.0, 0.015, 2026, 224, 68143400.0, True, False
1786560943.6895638, 42.583985, -83.678369, 0.0, 0.012, 2026, 224, 68143600.0, True, False
1786560943.8876073, 42.583985, -83.678369, 0.0, 0.014, 2026, 224, 68143800.0, True, False
1786560944.105589, 42.583985, -83.678369, 0.0, 0.005, 2026, 224, 68144000.0, True, False
1786560944.287584, 42.583985, -83.678369, 0.0, 0.008, 2026, 224, 68144200.0, True, False
1786560944.4888048, 42.583985, -83.67836916666667, 0.0, 0.014, 2026, 224, 68144400.0, True, False
1786560944.688596, 42.583985, -83.67836916666667, 0.0, 0.006, 2026, 224, 68144600.0, True, False
1786560944.8871772, 42.583985, -83.67836916666667, 0.0, 0.003, 2026, 224, 68144800.0, True, False
1786560945.0933118, 42.583985, -83.67836916666667, 0.0, 0.006, 2026, 224, 68145000.0, True, False
1786560945.2863772, 42.583985, -83.67836916666667, 0.0, 0.012, 2026, 224, 68145200.0, True, False
1786560945.4883854, 42.583985, -83.67836916666667, 0.0, 0.023, 2026, 224, 68145400.0, True, False
1786560945.6912577, 42.583985, -83.67836916666667, 0.0, 0.04, 2026, 224, 68145600.0, True, False
1786560945.8874974, 42.583985, -83.67836916666667, 0.0, 0.007, 2026, 224, 68145800.0, True, False
1786560946.0976737, 42.583985, -83.67836916666667, 0.0, 0.028, 2026, 224, 68146000.0, True, False
1786560946.2878225, 42.583985, -83.67836916666667, 0.0, 0.009, 2026, 224, 68146200.0, True, False
1786560946.4862602, 42.583985, -83.67836933333334, 0.0, 0.016, 2026, 224, 68146400.0, True, False
1786560946.693981, 42.583985, -83.67836933333334, 0.0, 0.02, 2026, 224, 68146600.0, True, False
1786560946.8830528, 42.583985166666665, -83.67836933333334, 0.0, 0.009, 2026, 224, 68146800.0, True, False
1786560947.1034951, 42.583985166666665, -83.67836933333334, 0.0, 0.018, 2026, 224, 68147000.0, True, False
1786560947.2885783, 42.583985166666665, -83.67836933333334, 0.0, 0.011, 2026, 224, 68147200.0, True, False
1786560947.4888763, 42.583985166666665, -83.67836933333334, 0.0, 0.009, 2026, 224, 68147400.0, True, False
1786560947.6873631, 42.583985166666665, -83.67836933333334, 0.0, 0.009, 2026, 224, 68147600.0, True, False
1786560947.8860075, 42.583985166666665, -83.6783695, 0.0, 0.01, 2026, 224, 68147800.0, True, False
1786560948.10275, 42.583985166666665, -83.6783695, 0.0, 0.029, 2026, 224, 68148000.0, True, False
1786560948.288181, 42.583985166666665, -83.6783695, 0.0, 0.01, 2026, 224, 68148200.0, True, False
1786560948.4881246, 42.583985166666665, -83.6783695, 0.0, 0.02, 2026, 224, 68148400.0, True, False
1786560948.6823997, 42.583985166666665, -83.6783695, 0.0, 0.002, 2026, 224, 68148600.0, True, False
1786560948.887492, 42.583985166666665, -83.6783695, 0.0, 0.012, 2026, 224, 68148800.0, True, False
1786560949.0986748, 42.583985166666665, -83.6783695, 0.0, 0.031, 2026, 224, 68149000.0, True, False
1786560949.2908003, 42.583985166666665, -83.6783695, 0.0, 0.019, 2026, 224, 68149200.0, True, False
1786560949.4863007, 42.583985166666665, -83.6783695, 0.0, 0.023, 2026, 224, 68149400.0, True, False
1786560949.691144, 42.583985166666665, -83.6783695, 0.0, 0.01, 2026, 224, 68149600.0, True, False
1786560949.8913743, 42.583985166666665, -83.6783695, 0.0, 0.019, 2026, 224, 68149800.0, True, False
1786560950.104479, 42.583985166666665, -83.67836966666667, 0.0, 0.006, 2026, 224, 68150000.0, True, False
1786560950.288896, 42.58398533333333, -83.67836966666667, 0.0, 0.017, 2026, 224, 68150200.0, True, False
1786560950.483212, 42.583985166666665, -83.67836966666667, 0.0, 0.02, 2026, 224, 68150400.0, True, False
1786560950.6873672, 42.583985166666665, -83.67836966666667, 0.0, 0.012, 2026, 224, 68150600.0, True, False
1786560950.8893254, 42.58398533333333, -83.67836966666667, 0.0, 0.003, 2026, 224, 68150800.0, True, False
1786560951.1014495, 42.58398533333333, -83.67836966666667, 0.0, 0.007, 2026, 224, 68151000.0, True, False
1786560951.284908, 42.58398533333333, -83.67836966666667, 0.0, 0.026, 2026, 224, 68151200.0, True, False
1786560951.4871857, 42.58398533333333, -83.67836966666667, 0.0, 0.01, 2026, 224, 68151400.0, True, False
1786560951.6913147, 42.58398533333333, -83.67836983333333, 0.0, 0.022, 2026, 224, 68151600.0, True, False
1786560951.8873193, 42.58398533333333, -83.67836983333333, 0.0, 0.013, 2026, 224, 68151800.0, True, False
1786560952.1022956, 42.58398533333333, -83.67836983333333, 0.0, 0.006, 2026, 224, 68152000.0, True, False
1786560952.2850494, 42.58398533333333, -83.67836983333333, 0.0, 0.021, 2026, 224, 68152200.0, True, False
1786560952.4864182, 42.58398533333333, -83.67836983333333, 0.0, 0.006, 2026, 224, 68152400.0, True, False
1786560952.6905768, 42.58398533333333, -83.67836983333333, 0.0, 0.005, 2026, 224, 68152600.0, True, False
1786560952.8974326, 42.58398533333333, -83.67836983333333, 0.0, 0.009, 2026, 224, 68152800.0, True, False
1786560953.108739, 42.58398533333333, -83.67836983333333, 0.0, 0.006, 2026, 224, 68153000.0, True, False
1786560953.2996616, 42.58398533333333, -83.67836983333333, 0.0, 0.002, 2026, 224, 68153200.0, True, False
1786560953.5001237, 42.58398533333333, -83.67836983333333, 0.0, 0.011, 2026, 224, 68153400.0, True, False
1786560953.6962094, 42.58398533333333, -83.67837, 0.0, 0.008, 2026, 224, 68153600.0, True, False
1786560953.8950884, 42.58398533333333, -83.67837, 0.0, 0.021, 2026, 224, 68153800.0, True, False
1786560954.111565, 42.58398533333333, -83.67837, 0.0, 0.001, 2026, 224, 68154000.0, True, False
1786560954.2948875, 42.58398533333333, -83.67837, 0.0, 0.017, 2026, 224, 68154200.0, True, False
1786560954.490556, 42.58398533333333, -83.67837, 0.0, 0.016, 2026, 224, 68154400.0, True, False
1786560954.6985795, 42.58398533333333, -83.67837, 0.0, 0.015, 2026, 224, 68154600.0, True, False
1786560954.888221, 42.58398533333333, -83.67837, 0.0, 0.022, 2026, 224, 68154800.0, True, False
1786560955.1071002, 42.58398533333333, -83.67837, 0.0, 0.003, 2026, 224, 68155000.0, True, False
1786560955.292236, 42.58398533333333, -83.67837, 0.0, 0.011, 2026, 224, 68155200.0, True, False
1786560955.4871328, 42.58398533333333, -83.67837, 0.0, 0.008, 2026, 224, 68155400.0, True, False
1786560955.69076, 42.58398533333333, -83.67837, 0.0, 0.014, 2026, 224, 68155600.0, True, False
1786560955.8965096, 42.583985166666665, -83.67837, 0.0, 0.003, 2026, 224, 68155800.0, True, False
1786560956.1152494, 42.583985166666665, -83.67837, 0.0, 0.019, 2026, 224, 68156000.0, True, False
1786560956.2956414, 42.583985166666665, -83.67837, 0.0, 0.02, 2026, 224, 68156200.0, True, False
1786560956.495986, 42.583985166666665, -83.67837, 0.0, 0.003, 2026, 224, 68156400.0, True, False
1786560956.6851282, 42.583985166666665, -83.67837, 0.0, 0.008, 2026, 224, 68156600.0, True, False
1786560956.888148, 42.583985166666665, -83.67837, 0.0, 0.014, 2026, 224, 68156800.0, True, False
1786560957.1001415, 42.583985166666665, -83.67837, 0.0, 0.012, 2026, 224, 68157000.0, True, False
1786560957.2878404, 42.583985166666665, -83.67837, 0.0, 0.018, 2026, 224, 68157200.0, True, False
1786560957.486603, 42.583985166666665, -83.67837, 0.0, 0.022, 2026, 224, 68157400.0, True, False
1786560957.6909127, 42.583985166666665, -83.67837, 0.0, 0.005, 2026, 224, 68157600.0, True, False
1786560957.8871481, 42.583985166666665, -83.67837, 0.0, 0.009, 2026, 224, 68157800.0, True, False
1786560958.0975718, 42.583985166666665, -83.67837, 0.0, 0.025, 2026, 224, 68158000.0, True, False
1786560958.287388, 42.583985166666665, -83.67837, 0.0, 0.004, 2026, 224, 68158200.0, True, False
1786560958.4809692, 42.583985166666665, -83.67837, 0.0, 0.014, 2026, 224, 68158400.0, True, False
1786560958.689475, 42.583985166666665, -83.67837, 0.0, 0.017, 2026, 224, 68158600.0, True, False
1786560958.889914, 42.583985166666665, -83.67837, 0.0, 0.015, 2026, 224, 68158800.0, True, False
1786560959.104349, 42.583985166666665, -83.67837, 0.0, 0.01, 2026, 224, 68159000.0, True, False
1786560959.2864923, 42.583985166666665, -83.67837, 0.0, 0.004, 2026, 224, 68159200.0, True, False
1786560959.4893157, 42.583985166666665, -83.67837, 0.0, 0.017, 2026, 224, 68159400.0, True, False
1786560959.6892142, 42.583985166666665, -83.67837, 0.0, 0.007, 2026, 224, 68159600.0, True, False
1786560959.8895438, 42.583985166666665, -83.67837, 0.0, 0.014, 2026, 224, 68159800.0, True, False
1786560960.1034658, 42.583985166666665, -83.67837, 0.0, 0.011, 2026, 224, 68160000.0, True, False
1786560960.2828424, 42.583985166666665, -83.67837, 0.0, 0.008, 2026, 224, 68160200.0, True, False
1786560960.4898896, 42.583985166666665, -83.67837, 0.0, 0.012, 2026, 224, 68160400.0, True, False
1786560960.6891851, 42.583985166666665, -83.67837, 0.0, 0.018, 2026, 224, 68160600.0, True, False
1786560960.886674, 42.583985166666665, -83.67837, 0.0, 0.015, 2026, 224, 68160800.0, True, False
1786560961.0939608, 42.583985166666665, -83.67837016666667, 0.0, 0.01, 2026, 224, 68161000.0, True, False
1786560961.2916148, 42.583985166666665, -83.67837016666667, 0.0, 0.014, 2026, 224, 68161200.0, True, False
1786560961.487453, 42.583985166666665, -83.67837016666667, 0.0, 0.01, 2026, 224, 68161400.0, True, False
1786560961.6895795, 42.583985166666665, -83.67837016666667, 0.0, 0.005, 2026, 224, 68161600.0, True, False
1786560961.8882468, 42.583985166666665, -83.67837016666667, 0.0, 0.015, 2026, 224, 68161800.0, True, False
1786560962.1035633, 42.583985166666665, -83.67837016666667, 0.0, 0.019, 2026, 224, 68162000.0, True, False
1786560962.2863512, 42.583985166666665, -83.67837016666667, 0.0, 0.004, 2026, 224, 68162200.0, True, False
1786560962.489172, 42.583985166666665, -83.67837016666667, 0.0, 0.003, 2026, 224, 68162400.0, True, False
1786560962.6917946, 42.583985166666665, -83.67837016666667, 0.0, 0.017, 2026, 224, 68162600.0, True, False
1786560962.8835318, 42.583985166666665, -83.67837016666667, 0.0, 0.027, 2026, 224, 68162800.0, True, False
1786560963.0999076, 42.583985, -83.67837016666667, 0.0, 0.024, 2026, 224, 68163000.0, True, False
1786560963.2874799, 42.583985, -83.67837033333333, 0.0, 0.013, 2026, 224, 68163200.0, True, False
1786560963.4874046, 42.583985, -83.67837033333333, 0.0, 0.022, 2026, 224, 68163400.0, True, False
1786560963.6892536, 42.583985, -83.67837033333333, 0.0, 0.004, 2026, 224, 68163600.0, True, False
1786560963.8874073, 42.583985, -83.67837033333333, 0.0, 0.012, 2026, 224, 68163800.0, True, False
1786560964.0992897, 42.583985, -83.67837033333333, 0.0, 0.008, 2026, 224, 68164000.0, True, False
1786560964.2882562, 42.583985, -83.6783705, 0.0, 0.025, 2026, 224, 68164200.0, True, False
1786560964.4864342, 42.58398483333333, -83.6783705, 0.0, 0.024, 2026, 224, 68164400.0, True, False
1786560964.6817045, 42.58398483333333, -83.67837033333333, 0.0, 0.01, 2026, 224, 68164600.0, True, False
1786560964.8908048, 42.583984666666666, -83.67837033333333, 0.0, 0.008, 2026, 224, 68164800.0, True, False
1786560965.1072876, 42.5839845, -83.67837033333333, 0.0, 0.013, 2026, 224, 68165000.0, True, False
1786560965.2942302, 42.5839845, -83.67837033333333, 0.0, 0.012, 2026, 224, 68165200.0, True, False
1786560965.4903636, 42.58398433333333, -83.67837033333333, 0.0, 0.01, 2026, 224, 68165400.0, True, False
1786560965.6959019, 42.58398416666667, -83.67837033333333, 0.0, 0.007, 2026, 224, 68165600.0, True, False
1786560965.8962398, 42.58398416666667, -83.67837033333333, 0.0, 0.014, 2026, 224, 68165800.0, True, False
1786560966.1145961, 42.583984, -83.67837033333333, 0.0, 0.015, 2026, 224, 68166000.0, True, False
1786560966.296122, 42.583984, -83.67837033333333, 0.0, 0.002, 2026, 224, 68166200.0, True, False
1786560966.4853647, 42.583984, -83.67837033333333, 0.0, 0.011, 2026, 224, 68166400.0, True, False
1786560966.6982996, 42.583984, -83.67837033333333, 0.0, 0.012, 2026, 224, 68166600.0, True, False
1786560966.8959498, 42.583984, -83.6783705, 0.0, 0.015, 2026, 224, 68166800.0, True, False
1786560967.111566, 42.583983833333335, -83.6783705, 0.0, 0.005, 2026, 224, 68167000.0, True, False
1786560967.2959726, 42.583983833333335, -83.67837033333333, 0.0, 0.002, 2026, 224, 68167200.0, True, False
1786560967.495158, 42.583983833333335, -83.67837033333333, 0.0, 0.015, 2026, 224, 68167400.0, True, False
1786560967.6969748, 42.58398366666667, -83.67837033333333, 0.0, 0.018, 2026, 224, 68167600.0, True, False
1786560967.8965948, 42.58398366666667, -83.67837033333333, 0.0, 0.023, 2026, 224, 68167800.0, True, False
1786560968.1184783, 42.58398366666667, -83.67837033333333, 0.0, 0.009, 2026, 224, 68168000.0, True, False
1786560968.2892995, 42.58398366666667, -83.67837033333333, 0.0, 0.006, 2026, 224, 68168200.0, True, False
1786560968.4955862, 42.58398366666667, -83.67837033333333, 0.0, 0.004, 2026, 224, 68168400.0, True, False
1786560968.6987157, 42.5839835, -83.67837033333333, 0.0, 0.011, 2026, 224, 68168600.0, True, False
1786560968.8976085, 42.5839835, -83.67837033333333, 0.0, 0.009, 2026, 224, 68168800.0, True, False
1786560969.1040745, 42.5839835, -83.67837033333333, 0.0, 0.007, 2026, 224, 68169000.0, True, False
1786560969.295569, 42.5839835, -83.67837033333333, 0.0, 0.009, 2026, 224, 68169200.0, True, False
1786560969.4955227, 42.5839835, -83.67837033333333, 0.0, 0.017, 2026, 224, 68169400.0, True, False
1786560969.699632, 42.5839835, -83.67837033333333, 0.0, 0.014, 2026, 224, 68169600.0, True, False
1786560969.895016, 42.5839835, -83.67837033333333, 0.0, 0.011, 2026, 224, 68169800.0, True, False
1786560970.106485, 42.5839835, -83.67837033333333, 0.0, 0.015, 2026, 224, 68170000.0, True, False
1786560970.2894828, 42.5839835, -83.67837033333333, 0.0, 0.008, 2026, 224, 68170200.0, True, False
1786560970.4860826, 42.583983333333336, -83.67837033333333, 0.0, 0.015, 2026, 224, 68170400.0, True, False
1786560970.688498, 42.583983333333336, -83.67837033333333, 0.0, 0.001, 2026, 224, 68170600.0, True, False
1786560970.8851118, 42.583983333333336, -83.67837033333333, 0.0, 0.009, 2026, 224, 68170800.0, True, False
1786560971.1021845, 42.583983333333336, -83.67837033333333, 0.0, 0.013, 2026, 224, 68171000.0, True, False
1786560971.2853117, 42.583983333333336, -83.67837033333333, 0.0, 0.004, 2026, 224, 68171200.0, True, False
1786560971.4877112, 42.583983333333336, -83.67837033333333, 0.0, 0.005, 2026, 224, 68171400.0, True, False
1786560971.686526, 42.583983333333336, -83.67837033333333, 0.0, 0.004, 2026, 224, 68171600.0, True, False
1786560971.885884, 42.583983333333336, -83.67837033333333, 0.0, 0.006, 2026, 224, 68171800.0, True, False
1786560972.104181, 42.583983333333336, -83.6783705, 0.0, 0.006, 2026, 224, 68172000.0, True, False
1786560972.2872493, 42.58398316666667, -83.6783705, 0.0, 0.007, 2026, 224, 68172200.0, True, False
1786560972.486271, 42.58398316666667, -83.6783705, 0.0, 0.009, 2026, 224, 68172400.0, True, False
1786560972.6832128, 42.583983, -83.6783705, 0.0, 0.018, 2026, 224, 68172600.0, True, False
1786560972.8864963, 42.583983, -83.67837066666667, 0.0, 0.008, 2026, 224, 68172800.0, True, False
1786560973.1003966, 42.583983, -83.67837066666667, 0.0, 0.012, 2026, 224, 68173000.0, True, False
1786560973.2895677, 42.58398283333333, -83.67837066666667, 0.0, 0.022, 2026, 224, 68173200.0, True, False
1786560973.4865174, 42.58398283333333, -83.67837083333333, 0.0, 0.016, 2026, 224, 68173400.0, True, False
1786560973.693622, 42.58398283333333, -83.67837083333333, 0.0, 0.02, 2026, 224, 68173600.0, True, False
1786560973.888711, 42.583982666666664, -83.67837083333333, 0.0, 0.023, 2026, 224, 68173800.0, True, False
